Code	Municipio	Depto	Censo electoral 	Participación/Total votación 	Abstención	Ganador	Votos Válidos (departamental)	Alianza Verde	Cambio Radical	Centro Democrático	Partido Conservador	FARC	Partido Liberal	Opción Ciudadana	MIRA	Polo Democrático Alternativo	Partido de la U	Somos	Unión Patriótica	MAIS	AICO	ASI	GSC Colombia Justa Libres	GSC Movimiento de Integración Regional	Todos Somos Colombia	Coalición Verde-Polo	Coalición Verde-Polo-UP	Coalición Verde-Polo-ASI	Coalición ASI-Verde-UP	Coalición Lista de la Decencia (ASI-UP-MAIS)	Coalición Lista de la Decencia (UP-MAIS)	Voto en Blanco 	Ganador 	Votos Válidos (Indigena)	ANICOL	Autoridad Tradicional Casiyouren	Fundación Taita Zipa	MAIS	AICO	UAIZSACOR	Voto en Blanco (Indígena)	Ganador	Votos Válidos (Afrodescendientes)	C. C. De La Comun. Negra De Tierra Baja Mi Territorio Ancestral	C.C. Ancestral De Comunidades Negras Playa Renaciente	C.C. De Comun. Negras Palenque Vda. Las Trescientas Y Mun. Galapa	C.C. De La Comunidad Negra De La Calle Larga Rio Dagua	C.C. De La Comunidad Negra De La Plata Bahía Málaga	C.C. De Los Corregimientos De San Antonio Y El Castillo	C.C. General Del Río Baudó Y Sus Afluentes "Acaba"	Consejo Comunitario Bocas Del Atrato Y Leoncito	Consejo Comunitario De Alejandro Duran Diaz	Consejo Comunitario De Comunidades Negras Obatala	Consejo Comunitario De Comunidades Negras Santo Domingo	Consejo Comunitario De La Comunidad Negra De Limones	Consejo Comunitario De Las Baras	Consejo Comunitario Del Rio Yurumangui	Consejo Comunitario Imbilpi Del Carmen	Consejo Comunitario La Mamuncia	Consejo Comunitario Los Andes	Consejo Comunitario Ma Kankamana De San Basilio De Palenque	Consejo Comunitario Mayor De Certegui	Consejo Comunitario Renacer Negro	Consejo Comunitario Tablon Salado	Consejo Comunitario Veredas Unidas Un Bien Común	Corporación Poder Ciudadano	Cuenca Del Rio Iscuande	Fund. Afrocolombiana Liberal De Desarrollo Social (Afrocodes)	Kusuto Magende Cokumalu De Luruaco	Todos Somos Colombia	Org. Social De Comunidades Negras "Nelson Mandela"	Voto en Blanco 	Votos Válidos (todas las circunscripciones)	Votos Inválidos	Tarjetones No Marcados	Nulos 	%Participación electoral 	%Abstención	%Alianza Verde	%Cambio Radical	%Centro Democrático	%Partido Conservador	%FARC	%Partido Liberal	%Opción Ciudadana	%MIRA	%Polo Democrático Alternativo	%Partido de la U	%Somos	%Unión Patriótica	%MAIS	%AICO	%ASI	%Todos Somos Colombia	%GSC Colombia Justa Libres	%GSC Movimiento de Integración Regional	%Coalición Verde-Polo	%Coalición Verde-Polo-UP	%Coalición Verde-Polo-ASI	%Coalición ASI-Verde-UP	%Coalición Lista de la Decencia (ASI-UP-MAIS)	%Coalición Lista de la Decencia (UP-MAIS)	%Voto en Blanco 	%Votos Válidos (Indigena)	%ANICOL	%Autoridad Tradicional Casiyouren	%Fundación Taita Zipa	%MAIS	%AICO	%UAIZSACOR	%Voto en Blanco (Indígena)	%Votos Válidos (Afrodescendientes)	%C. C. De La Comun. Negra De Tierra Baja Mi Territorio Ancestral	%C.C. Ancestral De Comunidades Negras Playa Renaciente	%C.C. De Comun. Negras Palenque Vda. Las Trescientas Y Mun. Galapa	%C.C. De La Comunidad Negra De La Calle Larga Rio Dagua	%C.C. De La Comunidad Negra De La Plata Bahía Málaga	%C.C. De Los Corregimientos De San Antonio Y El Castillo	%C.C. General Del Río Baudó Y Sus Afluentes "Acaba"	%Consejo Comunitario Bocas Del Atrato Y Leoncito	%Consejo Comunitario De Alejandro Duran Diaz	%Consejo Comunitario De Comunidades Negras Obatala	%Consejo Comunitario De Comunidades Negras Santo Domingo	%Consejo Comunitario De La Comunidad Negra De Limones	%Consejo Comunitario De Las Baras	%Consejo Comunitario Del Rio Yurumangui	%Consejo Comunitario Imbilpi Del Carmen	%Consejo Comunitario La Mamuncia	%Consejo Comunitario Los Andes	%Consejo Comunitario Ma Kankamana De San Basilio De Palenque	%Consejo Comunitario Mayor De Certegui	%Consejo Comunitario Renacer Negro	%Consejo Comunitario Tablon Salado	%Consejo Comunitario Veredas Unidas Un Bien Común	%Corporación Poder Ciudadano	%Cuenca Del Rio Iscuande	%Fund. Afrocolombiana Liberal De Desarrollo Social (Afrocodes)	%Kusuto Magende Cokumalu De Luruaco	%Todos Somos Colombia	%Org. Social De Comunidades Negras "Nelson Mandela"	%Voto en Blanco 	%Votos Válidos (todas las circunscripciones)	%Votos Inválidos	%Tarjetones No Marcados	%Nulos 
13580	Regidor	Bolívar	4837	2845	1992	Partido Conservador	2483		683	95	838		34	83	7		707									21						15	Voto en Blanco 	7	0	0	0	2	0	0	5	Voto en Blanco 	54	35	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	12	2544	301	97	204	58.8%	41.2%	0.0%	27.5%	3.8%	33.7%	0.0%	1.4%	3.3%	0.3%	0.0%	28.5%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.8%	0.0%	0.0%	0.0%	0.0%	0.0%	0.6%	0.2%	0.0%	0.0%	0.0%	28.6%	0.0%	0.0%	71.4%	1.9%	64.8%	0.0%	0.0%	3.7%	0.0%	0.0%	1.9%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.9%	3.7%	0.0%	0.0%	0.0%	0.0%	1.9%	0.0%	0.0%	0.0%	0.0%	22.2%	89.4%	10.6%	3.4%	7.2%
13600	Río Viejo	Bolívar	6165	3660	2505	Partido de la U	3322		1079	103	261		36	13	4		1745	9								35						37	Voto en Blanco 	5	1	0	0	1	0	0	3	Consejo Comunitario Los Andes	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	3331	329	69	260	59.4%	40.6%	0.0%	32.5%	3.1%	7.9%	0.0%	1.1%	0.4%	0.1%	0.0%	52.5%	0.3%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.1%	0.0%	0.0%	0.0%	0.0%	0.0%	1.1%	0.1%	20.0%	0.0%	0.0%	20.0%	0.0%	0.0%	60.0%	0.1%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	25.0%	25.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	25.0%	0.0%	0.0%	0.0%	25.0%	91.0%	9.0%	1.9%	7.1%
13620	San Cristóbal	Bolívar	6778	4387	2391	Partido de la U	4061		633	91	1016		987	88	10		1062	10								125						39	Voto en Blanco 	4	0	0	0	1	0	0	3	Todos Somos Colombia	10	0	0	3	0	3	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	4075	312	88	224	64.7%	35.3%	0.0%	15.6%	2.2%	25.0%	0.0%	24.3%	2.2%	0.2%	0.0%	26.2%	0.2%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.1%	0.0%	0.0%	0.0%	0.0%	0.0%	1.0%	0.1%	0.0%	0.0%	0.0%	25.0%	0.0%	0.0%	75.0%	0.2%	0.0%	0.0%	30.0%	0.0%	30.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	10.0%	0.0%	0.0%	10.0%	10.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	10.0%	0.0%	0.0%	92.9%	7.1%	2.0%	5.1%
13647	San Estanislao	Bolívar	14358	9743	4615	Cambio Radical	8788		3881	287	1639		2098	71	32		560	12								143						65	Voto en Blanco 	28	1	0	0	11	0	1	15	Voto en Blanco 	57	0	0	24	0	1	0	0	1	1	1	0	0	0	4	1	1	1	1	3	1	1	3	0	1	0	0	1	1	10	8873	870	174	696	67.9%	32.1%	0.0%	44.2%	3.3%	18.7%	0.0%	23.9%	0.8%	0.4%	0.0%	6.4%	0.1%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.6%	0.0%	0.0%	0.0%	0.0%	0.0%	0.7%	0.3%	3.6%	0.0%	0.0%	39.3%	0.0%	3.6%	53.6%	0.6%	0.0%	0.0%	42.1%	0.0%	1.8%	0.0%	0.0%	1.8%	1.8%	1.8%	0.0%	0.0%	0.0%	7.0%	1.8%	1.8%	1.8%	1.8%	5.3%	1.8%	1.8%	5.3%	0.0%	1.8%	0.0%	0.0%	1.8%	1.8%	17.5%	91.1%	8.9%	1.8%	7.1%
13650	San Fernando	Bolívar	8385	4891	3494	Cambio Radical	4508		2236	50	1802		198	12	9		107	4								69						21	Voto en Blanco 	6	0	0	0	0	0	0	6	Voto en Blanco 	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	4518	373	72	301	58.3%	41.7%	0.0%	49.6%	1.1%	40.0%	0.0%	4.4%	0.3%	0.2%	0.0%	2.4%	0.1%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.5%	0.0%	0.0%	0.0%	0.0%	0.0%	0.5%	0.1%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	100.0%	0.1%	0.0%	0.0%	50.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	25.0%	0.0%	0.0%	0.0%	25.0%	92.4%	7.6%	1.5%	6.2%
13654	San Jacinto	Bolívar	20714	13292	7422	Partido Liberal	11345		2678	600	2710		2873	38	48		1951	119								190						138	Voto en Blanco 	66	1	0	0	30	2	1	32	Voto en Blanco 	522	4	3	414	3	3	5	0	3	4	1	2	11	1	3	4	2	4	0	5	1	1	1	1	3	8	4	6	0	25	11933	1359	495	864	64.2%	35.8%	0.0%	23.6%	5.3%	23.9%	0.0%	25.3%	0.3%	0.4%	0.0%	17.2%	1.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.7%	0.0%	0.0%	0.0%	0.0%	0.0%	1.2%	0.5%	1.5%	0.0%	0.0%	45.5%	3.0%	1.5%	48.5%	3.9%	0.8%	0.6%	79.3%	0.6%	0.6%	1.0%	0.0%	0.6%	0.8%	0.2%	0.4%	2.1%	0.2%	0.6%	0.8%	0.4%	0.8%	0.0%	1.0%	0.2%	0.2%	0.2%	0.2%	0.6%	1.5%	0.8%	1.1%	0.0%	4.8%	89.8%	10.2%	3.7%	6.5%
13655	San Jacinto del Cauca	Bolívar	6905	3825	3080	Partido Conservador	3307		1191	95	1275		377	12	11		167	5								147						27	Voto en Blanco 	6	0	0	1	2	0	0	3	Consejo Comunitario La Mamuncia	12	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	4	3325	500	161	339	55.4%	44.6%	0.0%	36.0%	2.9%	38.6%	0.0%	11.4%	0.4%	0.3%	0.0%	5.0%	0.2%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.4%	0.0%	0.0%	0.0%	0.0%	0.0%	0.8%	0.2%	0.0%	0.0%	16.7%	33.3%	0.0%	0.0%	50.0%	0.3%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	8.3%	8.3%	0.0%	0.0%	0.0%	0.0%	0.0%	50.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	33.3%	86.9%	13.1%	4.2%	8.9%
13657	San Juan Nepomuceno	Bolívar	30752	18835	11917	Cambio Radical	16778		6112	1580	3306		2152	74	101		2799	54								377						223	MAIS	122	0	0	1	60	2	2	57	Voto en Blanco 	90	1	0	1	0	5	0	1	3	5	2	1	1	0	2	6	6	1	4	4	0	1	0	4	0	3	2	6	1	30	16990	1845	759	1086	61.2%	38.8%	0.0%	36.4%	9.4%	19.7%	0.0%	12.8%	0.4%	0.6%	0.0%	16.7%	0.3%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.2%	0.0%	0.0%	0.0%	0.0%	0.0%	1.3%	0.6%	0.0%	0.0%	0.8%	49.2%	1.6%	1.6%	46.7%	0.5%	1.1%	0.0%	1.1%	0.0%	5.6%	0.0%	1.1%	3.3%	5.6%	2.2%	1.1%	1.1%	0.0%	2.2%	6.7%	6.7%	1.1%	4.4%	4.4%	0.0%	1.1%	0.0%	4.4%	0.0%	3.3%	2.2%	6.7%	1.1%	33.3%	90.2%	9.8%	4.0%	5.8%
13667	San Martín de Loba	Bolívar	10963	6022	4941	Cambio Radical	5252		1784	146	1733		49	22	50		1316	8								111						33	MAIS	37	0	0	0	25	0	1	11	Voto en Blanco 	190	163	0	0	0	1	0	0	0	2	0	1	0	0	2	1	3	1	0	4	2	0	1	2	1	1	1	0	0	4	5479	543	155	388	54.9%	45.1%	0.0%	34.0%	2.8%	33.0%	0.0%	0.9%	0.4%	1.0%	0.0%	25.1%	0.2%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.1%	0.0%	0.0%	0.0%	0.0%	0.0%	0.6%	0.6%	0.0%	0.0%	0.0%	67.6%	0.0%	2.7%	29.7%	3.2%	85.8%	0.0%	0.0%	0.0%	0.5%	0.0%	0.0%	0.0%	1.1%	0.0%	0.5%	0.0%	0.0%	1.1%	0.5%	1.6%	0.5%	0.0%	2.1%	1.1%	0.0%	0.5%	1.1%	0.5%	0.5%	0.5%	0.0%	0.0%	2.1%	91.0%	9.0%	2.6%	6.4%
13670	San Pablo	Bolívar	17922	9986	7936	Cambio Radical	7933		2758	274	2747		632	321	40		729	12								228						192	Voto en Blanco 	64	1	0	0	21	3	0	39	Voto en Blanco 	73	1	3	0	2	1	2	0	0	3	3	5	0	2	2	0	13	1	1	7	1	1	1	1	0	1	0	0	1	21	8070	1916	591	1325	55.7%	44.3%	0.0%	34.8%	3.5%	34.6%	0.0%	8.0%	4.0%	0.5%	0.0%	9.2%	0.2%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.9%	0.0%	0.0%	0.0%	0.0%	0.0%	2.4%	0.6%	1.6%	0.0%	0.0%	32.8%	4.7%	0.0%	60.9%	0.7%	1.4%	4.1%	0.0%	2.7%	1.4%	2.7%	0.0%	0.0%	4.1%	4.1%	6.8%	0.0%	2.7%	2.7%	0.0%	17.8%	1.4%	1.4%	9.6%	1.4%	1.4%	1.4%	1.4%	0.0%	1.4%	0.0%	0.0%	1.4%	28.8%	80.8%	19.2%	5.9%	13.3%
13673	Santa Catalina	Bolívar	11950	7423	4527	Cambio Radical	6685		2185	232	1912		224	20	66		1917	7								74						48	Voto en Blanco 	41	0	0	0	5	1	0	35	Voto en Blanco 	23	2	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	1	1	2	1	0	1	0	0	1	0	0	0	10	6749	674	224	450	62.1%	37.9%	0.0%	32.7%	3.5%	28.6%	0.0%	3.4%	0.3%	1.0%	0.0%	28.7%	0.1%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.1%	0.0%	0.0%	0.0%	0.0%	0.0%	0.7%	0.6%	0.0%	0.0%	0.0%	12.2%	2.4%	0.0%	85.4%	0.3%	8.7%	0.0%	4.3%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.3%	0.0%	0.0%	0.0%	8.7%	0.0%	0.0%	4.3%	4.3%	8.7%	4.3%	0.0%	4.3%	0.0%	0.0%	4.3%	0.0%	0.0%	0.0%	43.5%	90.9%	9.1%	3.0%	6.1%
13683	Santa Rosa	Bolívar	14008	8682	5326	Partido Conservador	7497		1557	215	2466		2132	64	262		611	18								89						83	Voto en Blanco 	53	0	0	0	15	2	3	33	Voto en Blanco 	87	40	1	1	0	0	1	1	0	3	0	0	0	1	2	0	10	2	2	1	1	0	3	0	1	0	0	0	1	16	7637	1045	266	779	62.0%	38.0%	0.0%	20.8%	2.9%	32.9%	0.0%	28.4%	0.9%	3.5%	0.0%	8.1%	0.2%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.2%	0.0%	0.0%	0.0%	0.0%	0.0%	1.1%	0.6%	0.0%	0.0%	0.0%	28.3%	3.8%	5.7%	62.3%	1.0%	46.0%	1.1%	1.1%	0.0%	0.0%	1.1%	1.1%	0.0%	3.4%	0.0%	0.0%	0.0%	1.1%	2.3%	0.0%	11.5%	2.3%	2.3%	1.1%	1.1%	0.0%	3.4%	0.0%	1.1%	0.0%	0.0%	0.0%	1.1%	18.4%	88.0%	12.0%	3.1%	9.0%
13688	Santa Rosa del Sur	Bolívar	20072	8139	11933	Centro Democrático	6712		1587	1634	1047		542	24	33		882	174								425						364	Voto en Blanco 	86	0	0	1	5	0	2	78	Voto en Blanco 	243	118	3	0	2	1	3	0	0	5	7	3	0	0	1	1	19	1	0	7	2	1	1	0	1	1	1	4	2	59	7041	1098	342	756	40.5%	59.5%	0.0%	23.6%	24.3%	15.6%	0.0%	8.1%	0.4%	0.5%	0.0%	13.1%	2.6%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	6.3%	0.0%	0.0%	0.0%	0.0%	0.0%	5.4%	1.1%	0.0%	0.0%	1.2%	5.8%	0.0%	2.3%	90.7%	3.0%	48.6%	1.2%	0.0%	0.8%	0.4%	1.2%	0.0%	0.0%	2.1%	2.9%	1.2%	0.0%	0.0%	0.4%	0.4%	7.8%	0.4%	0.0%	2.9%	0.8%	0.4%	0.4%	0.0%	0.4%	0.4%	0.4%	1.6%	0.8%	24.3%	86.5%	13.5%	4.2%	9.3%
13744	Simití	Bolívar	12114	5960	6154	Partido Conservador	4750		1126	168	2432		453	37	14		264	71								71						114	Voto en Blanco 	37	1	0	0	6	1	0	29	Voto en Blanco 	167	92	0	0	0	0	2	12	0	6	0	0	1	0	3	0	18	1	0	3	1	0	1	0	0	1	0	1	0	25	4954	1006	367	639	49.2%	50.8%	0.0%	23.7%	3.5%	51.2%	0.0%	9.5%	0.8%	0.3%	0.0%	5.6%	1.5%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.5%	0.0%	0.0%	0.0%	0.0%	0.0%	2.4%	0.6%	2.7%	0.0%	0.0%	16.2%	2.7%	0.0%	78.4%	2.8%	55.1%	0.0%	0.0%	0.0%	0.0%	1.2%	7.2%	0.0%	3.6%	0.0%	0.0%	0.6%	0.0%	1.8%	0.0%	10.8%	0.6%	0.0%	1.8%	0.6%	0.0%	0.6%	0.0%	0.0%	0.6%	0.0%	0.6%	0.0%	15.0%	83.1%	16.9%	6.2%	10.7%
13760	Soplaviento	Bolívar	8259	5725	2534	Partido Conservador	5083		1165	72	1737		1136	14	9		731	5								151						63	Voto en Blanco 	24	0	0	0	2	1	0	21	Voto en Blanco 	26	6	0	4	0	1	0	0	0	1	1	0	2	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	6	5133	592	158	434	69.3%	30.7%	0.0%	22.9%	1.4%	34.2%	0.0%	22.3%	0.3%	0.2%	0.0%	14.4%	0.1%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.2%	0.4%	0.0%	0.0%	0.0%	8.3%	4.2%	0.0%	87.5%	0.5%	23.1%	0.0%	15.4%	0.0%	3.8%	0.0%	0.0%	0.0%	3.8%	3.8%	0.0%	7.7%	3.8%	0.0%	0.0%	3.8%	3.8%	0.0%	0.0%	0.0%	0.0%	3.8%	0.0%	0.0%	0.0%	0.0%	3.8%	0.0%	23.1%	89.7%	10.3%	2.8%	7.6%
13780	Talaigua Nuevo	Bolívar	9077	5655	3422	Partido Conservador	5324		1221	307	1915		740	11	21		955	11								118						25	Voto en Blanco 	13	0	1	0	3	0	2	7	Voto en Blanco 	20	5	0	0	0	1	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	1	0	0	7	5357	298	109	189	62.3%	37.7%	0.0%	22.9%	5.8%	36.0%	0.0%	13.9%	0.2%	0.4%	0.0%	17.9%	0.2%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.2%	0.0%	0.0%	0.0%	0.0%	0.0%	0.5%	0.2%	0.0%	7.7%	0.0%	23.1%	0.0%	15.4%	53.8%	0.4%	25.0%	0.0%	0.0%	0.0%	5.0%	5.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	20.0%	0.0%	0.0%	0.0%	0.0%	0.0%	5.0%	0.0%	0.0%	0.0%	5.0%	0.0%	0.0%	35.0%	94.7%	5.3%	1.9%	3.3%
13810	Tiquisio	Bolívar	13084	7349	5735	Partido Conservador	6430		2152	383	2485		597	37	20		669	5								43						39	Voto en Blanco 	20	0	1	0	4	2	2	11	Voto en Blanco 	16	0	0	0	0	0	0	0	1	2	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	1	0	5	6466	883	180	703	56.2%	43.8%	0.0%	33.5%	6.0%	38.6%	0.0%	9.3%	0.6%	0.3%	0.0%	10.4%	0.1%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.7%	0.0%	0.0%	0.0%	0.0%	0.0%	0.6%	0.3%	0.0%	5.0%	0.0%	20.0%	10.0%	10.0%	55.0%	0.2%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	6.3%	12.5%	6.3%	6.3%	0.0%	0.0%	0.0%	0.0%	12.5%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	12.5%	6.3%	6.3%	0.0%	31.3%	88.0%	12.0%	2.4%	9.6%
13836	Turbaco	Bolívar	62044	33366	28678	Partido Liberal	28663		5071	1464	4629		12737	158	539		1867	157								1111						930	MAIS	463	1	4	0	258	7	4	189	Voto en Blanco 	304	35	5	5	3	4	2	0	2	2	3	0	1	2	29	2	22	1	9	5	3	1	0	3	2	2	8	1	1	151	29430	3936	798	3138	53.8%	46.2%	0.0%	17.7%	5.1%	16.1%	0.0%	44.4%	0.6%	1.9%	0.0%	6.5%	0.5%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.9%	0.0%	0.0%	0.0%	0.0%	0.0%	3.2%	1.4%	0.2%	0.9%	0.0%	55.7%	1.5%	0.9%	40.8%	0.9%	11.5%	1.6%	1.6%	1.0%	1.3%	0.7%	0.0%	0.7%	0.7%	1.0%	0.0%	0.3%	0.7%	9.5%	0.7%	7.2%	0.3%	3.0%	1.6%	1.0%	0.3%	0.0%	1.0%	0.7%	0.7%	2.6%	0.3%	0.3%	49.7%	88.2%	11.8%	2.4%	9.4%
13838	Turbaná	Bolívar	14357	9256	5101	Partido Conservador	8180		1106	263	3977		1460	44	70		940	20								167						133	Voto en Blanco 	53	0	0	0	13	4	0	36	Voto en Blanco 	48	5	0	0	0	1	0	1	1	0	0	0	0	1	2	1	2	0	2	1	1	2	0	1	0	2	0	1	0	24	8281	975	359	616	64.5%	35.5%	0.0%	13.5%	3.2%	48.6%	0.0%	17.8%	0.5%	0.9%	0.0%	11.5%	0.2%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.6%	0.6%	0.0%	0.0%	0.0%	24.5%	7.5%	0.0%	67.9%	0.5%	10.4%	0.0%	0.0%	0.0%	2.1%	0.0%	2.1%	2.1%	0.0%	0.0%	0.0%	0.0%	2.1%	4.2%	2.1%	4.2%	0.0%	4.2%	2.1%	2.1%	4.2%	0.0%	2.1%	0.0%	4.2%	0.0%	2.1%	0.0%	50.0%	89.5%	10.5%	3.9%	6.7%
13873	Villanueva	Bolívar	15445	9513	5932	Partido Conservador	7823		2287	295	2363		1096	279	78		959	25								338						103	Voto en Blanco 	53	1	1	4	14	0	0	33	Voto en Blanco 	118	4	1	3	0	0	3	1	1	1	1	0	0	2	2	0	6	1	65	3	0	0	0	4	1	1	2	1	0	15	7994	1519	362	1157	61.6%	38.4%	0.0%	29.2%	3.8%	30.2%	0.0%	14.0%	3.6%	1.0%	0.0%	12.3%	0.3%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.3%	0.0%	0.0%	0.0%	0.0%	0.0%	1.3%	0.6%	1.9%	1.9%	7.5%	26.4%	0.0%	0.0%	62.3%	1.2%	3.4%	0.8%	2.5%	0.0%	0.0%	2.5%	0.8%	0.8%	0.8%	0.8%	0.0%	0.0%	1.7%	1.7%	0.0%	5.1%	0.8%	55.1%	2.5%	0.0%	0.0%	0.0%	3.4%	0.8%	0.8%	1.7%	0.8%	0.0%	12.7%	84.0%	16.0%	3.8%	12.2%
13894	Zambrano	Bolívar	9049	5733	3316	Cambio Radical	4947		2371	57	1078		857	41	12		269	11								189						62	Voto en Blanco 	39	1	0	0	10	0	1	27	Voto en Blanco 	30	0	0	7	0	1	1	0	0	2	0	0	0	1	0	1	0	0	2	0	0	1	1	1	0	0	0	1	0	11	5016	717	300	417	63.4%	36.6%	0.0%	47.9%	1.2%	21.8%	0.0%	17.3%	0.8%	0.2%	0.0%	5.4%	0.2%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.8%	0.0%	0.0%	0.0%	0.0%	0.0%	1.3%	0.7%	2.6%	0.0%	0.0%	25.6%	0.0%	2.6%	69.2%	0.5%	0.0%	0.0%	23.3%	0.0%	3.3%	3.3%	0.0%	0.0%	6.7%	0.0%	0.0%	0.0%	3.3%	0.0%	3.3%	0.0%	0.0%	6.7%	0.0%	0.0%	3.3%	3.3%	3.3%	0.0%	0.0%	0.0%	3.3%	0.0%	36.7%	87.5%	12.5%	5.2%	7.3%
15001	Tunja	Boyacá	121295	70733	50562	MAIS	59186	8433	8621	4509	4866		8474	531	1602	1197	2745		653	9320		269										7966	Voto en Blanco 	1856	13	5	9	582	39	8	1200	Voto en Blanco 	1616	0	9	5	1	4	8	4	2	6	1	1	3	3	16	12	97	6	3	17	3	2	19	8	2	3	2	15	8	1356	62658	8075	1011	7064	58.3%	41.7%	14.2%	14.6%	7.6%	8.2%	0.0%	14.3%	0.9%	2.7%	2.0%	4.6%	0.0%	1.1%	15.7%	0.0%	0.5%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	13.5%	2.6%	0.7%	0.3%	0.5%	31.4%	2.1%	0.4%	64.7%	2.3%	0.0%	0.6%	0.3%	0.1%	0.2%	0.5%	0.2%	0.1%	0.4%	0.1%	0.1%	0.2%	0.2%	1.0%	0.7%	6.0%	0.4%	0.2%	1.1%	0.2%	0.1%	1.2%	0.5%	0.1%	0.2%	0.1%	0.9%	0.5%	83.9%	88.6%	11.4%	1.4%	10.0%
