Code	Municipio	Depto	Censo electoral	Participación/Total votos	Abstención	Ganador	Votos válidos (departamental)	100% Colombia	AICO	ASI	Alianza Verde	Blanco por la Paz	Cambio Radical	Centro Democrático	MIRA	Movimiento de Integración Regional	Partido Conservador	Partido de la U	Partido Liberal	Polo Democrático Alternativo	Por un Huila Mejor	Opción Ciudadana	Unión Patriótica	Voto en blanco (departamental)	Ganador	Votos válidos (Indígenas)	AICO	AIMAC	Embera Chami - Dache Agora Drua	MAIS	Movimiento CS	MUIPC	OPIC	Renovación Étnica "Raíces"	Vía Nueva	Voto en blanco (Indígenas)	Ganador	Votos válidos (Afros)	Afrocolombianos en Acción	Afroétnicos	AFRODMAM	AFROMINGA	AFROVIDES	ASOCONEGUA	ASODEPORTES	ASOPRA	C.C. San Antonio y EL Castillo	CORMANDELA	CORPOSINPAC	E.A.T. Botica Comunitaria 	ESAFRO	F. Desarrollo Cuenca del Pacífico	FORFUTURO	FUNCULCOSTA	FUNDAIN	FUNDECH	FUNDIAFRO	FUNECO	FUNPROESAT	Los Palenkes Bellavista	MACOAS	MIO	Poder Ciudadano	SI SE PUEDE	OECA	Únete	Vides y sus Niches	Voto en blanco (Afros)	Votos válidos (todas las circunscripciones)	Votos inválidos	Votos Nulos	Tarjetones No Marcados	%Participación	%Abstención	%Votos válidos (departamental)	%100% Colombia	%AICO	%ASI	%Alianza Verde	%Blanco por la Paz	%Cambio Radical	%Centro Democrático	%MIRA	%Movimiento de Integración Regional	%Partido Conservador	%Partido de la U	%Partido Liberal	%Polo Democrático Alternativo	%Por un Huila Mejor	%Opción Ciudadana	%Unión Patriótica	%Voto en blanco (departamental)	%Votos válidos (Indígenas)	%AICO	%AIMAC	%Embera Chami - Dache Agora Drua	%MAIS	%Movimiento CS	%MUIPC	%OPIC	%Renovación Étnica "Raíces"	%Vía Nueva	%Voto en blanco (Indígenas)	%Votos válidos (Afros)	%Afrocolombianos en Acción	%Afroétnicos	%AFRODMAM	%AFROMINGA	%AFROVIDES	%ASOCONEGUA	%ASODEPORTES	%ASOPRA	%C.C. San Antonio y EL Castillo	%CORMANDELA	%CORPOSINPAC	%E.A.T. Botica Comunitaria 	%ESAFRO	%F. Desarrollo Cuenca del Pacífico	%FORFUTURO	%FUNCULCOSTA	%FUNDAIN	%FUNDECH	%FUNDIAFRO	%FUNECO	%FUNPROESAT	%Los Palenkes Bellavista	%MACOAS	%MIO	%Poder Ciudadano	%SI SE PUEDE	%OECA	%Únete	%Vides y sus Niches	%Voto en blanco (Afros)	%Votos válidos (todas las circunscripciones)	%Votos inválidos	%Votos Nulos	%Tarjetones No Marcados
5042	Santafé de Antioquia	Antioquia	18231	6441	11790	Partido de la U	5189			31	88		128	1073	49		545	1789	825	271		66	26	298	Voto en blanco	35	1	1	1	2		1	1	1		27	Voto en blanco	59				2		3	1	4	1	1	1	1	1	1		1				1				3	2	1		1		34	5283	1158	805	353	35.33	64.67	80.56	0	0	0.6	1.7	0	2.47	20.68	0.94	0	10.5	34.48	15.9	5.22	0	1.27	0.5	5.74	0.54	2.86	2.86	2.86	5.71	0	2.86	2.86	2.86	0	77.14	0.92	0	0	0	3.39	0	5.08	1.69	6.78	1.69	1.69	1.69	1.69	1.69	1.69	0	1.69	0	0	0	1.69	0	0	0	5.08	3.39	1.69	0	1.69	0	57.63	82.02	17.98	12.5	5.48
5044	Anza	Antioquia	5265	2021	3244	Partido Liberal	1597			2	6		22	303	68		298	130	695	22		9	8	34	Voto en blanco	6								1		5	Voto en blanco	12	1													1	1		1													8	1615	406	272	134	38.39	61.61	79.02	0	0	0.13	0.38	0	1.38	18.97	4.26	0	18.66	8.14	43.52	1.38	0	0.56	0.5	2.13	0.3	0	0	0	0	0	0	0	16.67	0	83.33	0.59	8.33	0	0	0	0	0	0	0	0	0	0	0	0	8.33	8.33	0	8.33	0	0	0	0	0	0	0	0	0	0	0	0	66.67	79.91	20.09	13.46	6.63
5045	Apartadó	Antioquia	80991	28463	52528	Centro Democrático	21220			1480	933		1044	5229	1311		1485	3614	3475	532		170	168	1779	AICO	609	362	3	3	33	7	15	55	4	3	124	Voto en blanco	977	4	31	4	6	5	65	37	48	139	4	12	2	213	3	4	4	4	7	4	4	4	11	2	105	15	6	4	1	5	224	22806	5657	4213	1444	35.14	64.86	74.55	0	0	6.97	4.4	0	4.92	24.64	6.18	0	7	17.03	16.38	2.51	0	0.8	0.79	8.38	2.14	59.44	0.49	0.49	5.42	1.15	2.46	9.03	0.66	0.49	20.36	3.43	0.41	3.17	0.41	0.61	0.51	6.65	3.79	4.91	14.23	0.41	1.23	0.2	21.8	0.31	0.41	0.41	0.41	0.72	0.41	0.41	0.41	1.13	0.2	10.75	1.54	0.61	0.41	0.1	0.51	22.93	80.13	19.87	14.8	5.07
5051	Arboletes	Antioquia	21333	9983	11350	Partido de la U	7538			295	45		695	414	71		816	3846	979	74		139	61	103	MAIS	210	5	1	1	111	5	10	70	3		4	FUNECO	505	1	1	1	2	2	3	2	5	2	1	2		26	3	5					405		4	2	6	6	1			1	24	8253	1730	1278	452	46.8	53.2	75.51	0	0	3.91	0.6	0	9.22	5.49	0.94	0	10.83	51.02	12.99	0.98	0	1.84	0.81	1.37	2.1	2.38	0.48	0.48	52.86	2.38	4.76	33.33	1.43	0	1.9	5.06	0.2	0.2	0.2	0.4	0.4	0.59	0.4	0.99	0.4	0.2	0.4	0	5.15	0.59	0.99	0	0	0	0	80.2	0	0.79	0.4	1.19	1.19	0.2	0	0	0.2	4.75	82.67	17.33	12.8	4.53
5055	Argelia	Antioquia	6481	2464	4017	Centro Democrático	2065			30	11		19	1128	14		336	356	88	23		9	8	43	Voto en blanco	10			2							8	Voto en blanco	11														1					1				1							8	2086	378	249	129	38.02	61.98	83.81	0	0	1.45	0.53	0	0.92	54.62	0.68	0	16.27	17.24	4.26	1.11	0	0.44	0.39	2.08	0.41	0	0	20	0	0	0	0	0	0	80	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09	0	0	0	0	9.09	0	0	0	9.09	0	0	0	0	0	0	72.73	84.66	15.34	10.11	5.24
5059	Armenia	Antioquia	4835	1820	3015	Partido Liberal	1489			2	3		12	142	8		426	56	774	14		4	8	40	Voto en blanco	3										3	Voto en blanco	8																						1					1			6	1500	320	248	72	37.64	62.36	81.81	0	0	0.13	0.2	0	0.81	9.54	0.54	0	28.61	3.76	51.98	0.94	0	0.27	0.54	2.69	0.16	0	0	0	0	0	0	0	0	0	100	0.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.5	0	0	0	0	12.5	0	0	75	82.42	17.58	13.63	3.96
5079	Barbosa	Antioquia	35281	14599	20682	Partido Liberal	12137			218	255		674	2434	140		1719	1743	3786	383		64	58	663	Voto en blanco	74	15	1	2	3	3	1	1	1		47	Voto en blanco	92	1					1	1	1	2	1	1		1	1			1		1	2		1	1	1	2			1		72	12303	2296	1776	520	41.38	58.62	83.14	0	0	1.8	2.1	0	5.55	20.05	1.15	0	14.16	14.36	31.19	3.16	0	0.53	0.48	5.46	0.51	20.27	1.35	2.7	4.05	4.05	1.35	1.35	1.35	0	63.51	0.63	1.09	0	0	0	0	1.09	1.09	1.09	2.17	1.09	1.09	0	1.09	1.09	0	0	1.09	0	1.09	2.17	0	1.09	1.09	1.09	2.17	0	0	1.09	0	78.26	84.27	15.73	12.17	3.56
5086	Belmira	Antioquia	4453	2109	2344	Partido Liberal	1868			1	9		25	117	11		677	17	924	17		11	7	52	Voto en blanco	1										1	Empate	7													2						1	1								1		2	1876	233	175	58	47.36	52.64	88.57	0	0	0.05	0.48	0	1.34	6.26	0.59	0	36.24	0.91	49.46	0.91	0	0.59	0.37	2.78	0.05	0	0	0	0	0	0	0	0	0	100	0.33	0	0	0	0	0	0	0	0	0	0	0	0	28.57	0	0	0	0	0	14.29	14.29	0	0	0	0	0	0	0	14.29	0	28.57	88.95	11.05	8.3	2.75
5088	Bello	Antioquia	294886	105825	189061	Centro Democrático	83423			666	3933		7200	17649	2559		15676	5978	17025	4102		387	559	7689	Voto en blanco	682	34	9	11	36	24	20	10	37	9	492	Voto en blanco	1394	8	11	5	9	21	13	21	19	12	19	15	14	36	7	13	6	17	3	6	64	9	14	8	59	13	11	15	15	6	925	85499	20326	17365	2961	35.89	64.11	78.83	0	0	0.8	4.71	0	8.63	21.16	3.07	0	18.79	7.17	20.41	4.92	0	0.46	0.67	9.22	0.64	4.99	1.32	1.61	5.28	3.52	2.93	1.47	5.43	1.32	72.14	1.32	0.57	0.79	0.36	0.65	1.51	0.93	1.51	1.36	0.86	1.36	1.08	1	2.58	0.5	0.93	0.43	1.22	0.22	0.43	4.59	0.65	1	0.57	4.23	0.93	0.79	1.08	1.08	0.43	66.36	80.79	19.21	16.41	2.8
5091	Betania	Antioquia	8224	3623	4601	Partido Liberal	2904			10	17		36	415	27		168	192	1946	19		4	11	59	Voto en blanco	7	2			2						3	Voto en blanco	9				1	1			1																1					1	4	2920	703	576	127	44.05	55.95	80.15	0	0	0.34	0.59	0	1.24	14.29	0.93	0	5.79	6.61	67.01	0.65	0	0.14	0.38	2.03	0.19	28.57	0	0	28.57	0	0	0	0	0	42.86	0.25	0	0	0	11.11	11.11	0	0	11.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.11	0	0	0	0	11.11	44.44	80.6	19.4	15.9	3.51
5093	Betulia	Antioquia	12747	4697	8050	Centro Democrático	3545			12	270		85	953	29		422	674	924	80		7	12	77	Voto en blanco	11	1			1		2				7	ESAFRO	29				1	1				1		1	1	14	1			1			1		1				1		1		4	3585	1112	901	211	36.85	63.15	75.47	0	0	0.34	7.62	0	2.4	26.88	0.82	0	11.9	19.01	26.06	2.26	0	0.2	0.34	2.17	0.23	9.09	0	0	9.09	0	18.18	0	0	0	63.64	0.62	0	0	0	3.45	3.45	0	0	0	3.45	0	3.45	3.45	48.28	3.45	0	0	3.45	0	0	3.45	0	3.45	0	0	0	3.45	0	3.45	0	13.79	76.33	23.67	19.18	4.49
5101	Ciudad Bolívar	Antioquia	23137	7800	15337	Centro Democrático	6156			72	73		536	1915	71		1186	865	895	135		18	35	355	MAIS	96	1		4	73	1	2		1		14	Voto en blanco	83		3	1		1	1			1				1		1	1	1	1			2			11	1		2	1	1	53	6335	1465	1144	321	33.71	66.29	78.92	0	0	1.17	1.19	0	8.71	31.11	1.15	0	19.27	14.05	14.54	2.19	0	0.29	0.57	5.77	1.23	1.04	0	4.17	76.04	1.04	2.08	0	1.04	0	14.58	1.06	0	3.61	1.2	0	1.2	1.2	0	0	1.2	0	0	0	1.2	0	1.2	1.2	1.2	1.2	0	0	2.41	0	0	13.25	1.2	0	2.41	1.2	1.2	63.86	81.22	18.78	14.67	4.12
5107	Briceño	Antioquia	5817	1506	4311	Partido Conservador	1285			16	8		6	21	16		643	15	507	12		7	5	29	Empate	2	1									1	Voto en blanco	6												1			1	1	1													2	1293	213	121	92	25.89	74.11	85.33	0	0	1.25	0.62	0	0.47	1.63	1.25	0	50.04	1.17	39.46	0.93	0	0.54	0.39	2.26	0.13	50	0	0	0	0	0	0	0	0	50	0.4	0	0	0	0	0	0	0	0	0	0	0	16.67	0	0	16.67	16.67	16.67	0	0	0	0	0	0	0	0	0	0	0	0	33.33	85.86	14.14	8.03	6.11
5113	Buriticá	Antioquia	6407	2042	4365	Partido Conservador	1618			3	14		17	243	7		581	127	510	51		11	10	44	Voto en blanco	10			1	3						6	Voto en blanco	4						1		1																						2	1632	410	273	137	31.87	68.13	79.24	0	0	0.19	0.87	0	1.05	15.02	0.43	0	35.91	7.85	31.52	3.15	0	0.68	0.62	2.72	0.49	0	0	10	30	0	0	0	0	0	60	0.2	0	0	0	0	0	25	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	79.92	20.08	13.37	6.71
5120	Cáceres	Antioquia	19096	7338	11758	Partido Liberal	5390			62	198		480	168	36		409	694	3106	54		24	13	146	MAIS	69	15			21	3	6	6	2		16	FUNECO	212	1	1	1	1	3		2	2	2			1	1			1	1			167		1		2	1		2			22	5671	1667	1013	654	38.43	61.57	73.45	0	0	1.15	3.67	0	8.91	3.12	0.67	0	7.59	12.88	57.63	1	0	0.45	0.24	2.71	0.94	21.74	0	0	30.43	4.35	8.7	8.7	2.9	0	23.19	2.89	0.47	0.47	0.47	0.47	1.42	0	0.94	0.94	0.94	0	0	0.47	0.47	0	0	0.47	0.47	0	0	78.77	0	0.47	0	0.94	0.47	0	0.94	0	0	10.38	77.28	22.72	13.8	8.91
5125	Caicedo	Antioquia	5766	2096	3670	Partido Liberal	1661			10	8		50	330	11		100	472	599	27		3	8	43	Voto en blanco	4			1	1						2	Voto en blanco	10						1				1		1	1											1		1				4	1675	421	306	115	36.35	63.65	79.25	0	0	0.6	0.48	0	3.01	19.87	0.66	0	6.02	28.42	36.06	1.63	0	0.18	0.48	2.59	0.19	0	0	25	25	0	0	0	0	0	50	0.48	0	0	0	0	0	10	0	0	0	10	0	10	10	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	0	40	79.91	20.09	14.6	5.49
5129	Caldas	Antioquia	55671	24110	31561	Centro Democrático	18319			86	462		1845	3771	769		2632	3699	2043	847		64	118	1983	Voto en blanco	195	27	4	3	13	3	1	1	4	5	134	Voto en blanco	319		2	2	2	5	2	4	4	1	4	4	1	11		2	2	3			2	2	1		6	6	1	7	7	2	236	18833	5277	4416	861	43.31	56.69	75.98	0	0	0.47	2.52	0	10.07	20.59	4.2	0	14.37	20.19	11.15	4.62	0	0.35	0.64	10.82	0.81	13.85	2.05	1.54	6.67	1.54	0.51	0.51	2.05	2.56	68.72	1.32	0	0.63	0.63	0.63	1.57	0.63	1.25	1.25	0.31	1.25	1.25	0.31	3.45	0	0.63	0.63	0.94	0	0	0.63	0.63	0.31	0	1.88	1.88	0.31	2.19	2.19	0.63	73.98	78.11	21.89	18.32	3.57
5134	Campamento	Antioquia	5899	1713	4186	Partido Liberal	1449			14	14		30	48	14		507	53	705	15		12	2	35	Voto en blanco	6										6	Voto en blanco	9												1												1		1		1	1	4	1464	249	177	72	29.04	70.96	84.59	0	0	0.97	0.97	0	2.07	3.31	0.97	0	34.99	3.66	48.65	1.04	0	0.83	0.14	2.42	0.35	0	0	0	0	0	0	0	0	0	100	0.53	0	0	0	0	0	0	0	0	0	0	0	11.11	0	0	0	0	0	0	0	0	0	0	0	11.11	0	11.11	0	11.11	11.11	44.44	85.46	14.54	10.33	4.2
5138	Cañasgordas	Antioquia	12623	6493	6130	Partido Conservador	5587			9	170		52	819	39		3551	157	625	40		21	21	83	Voto en blanco	13								1		12	Voto en blanco	24										1			1	2					1			1	1		1		2			14	5624	869	641	228	51.44	48.56	86.05	0	0	0.16	3.04	0	0.93	14.66	0.7	0	63.56	2.81	11.19	0.72	0	0.38	0.38	1.49	0.2	0	0	0	0	0	0	0	7.69	0	92.31	0.37	0	0	0	0	0	0	0	0	0	4.17	0	0	4.17	8.33	0	0	0	0	4.17	0	0	4.17	4.17	0	4.17	0	8.33	0	0	58.33	86.62	13.38	9.87	3.51
5142	Caracolí	Antioquia	4633	1637	2996	Partido Conservador	1402			2	125		54	224	23		410	397	117	14		4	3	29	Empate	2	1					1				0	Voto en blanco	11	1											1		1																8	1415	222	159	63	35.33	64.67	85.64	0	0	0.14	8.92	0	3.85	15.98	1.64	0	29.24	28.32	8.35	1	0	0.29	0.21	2.07	0.12	50	0	0	0	0	50	0	0	0	0	0.67	9.09	0	0	0	0	0	0	0	0	0	0	9.09	0	9.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72.73	86.44	13.56	9.71	3.85
5145	Caramanta	Antioquia	5145	1955	3190	Partido Liberal	1527			4	16		34	143	18		434	308	479	40		5	10	36	Voto en blanco	6				1						5	Voto en blanco	18								3		1										3		3							1	7	1551	404	295	109	38	62	78.11	0	0	0.26	1.05	0	2.23	9.36	1.18	0	28.42	20.17	31.37	2.62	0	0.33	0.65	2.36	0.31	0	0	0	16.67	0	0	0	0	0	83.33	0.92	0	0	0	0	0	0	0	16.67	0	5.56	0	0	0	0	0	0	0	0	0	16.67	0	16.67	0	0	0	0	0	0	5.56	38.89	79.34	20.66	15.09	5.58
5147	Carepa	Antioquia	38195	13933	24262	Partido Liberal	10764			462	111		833	1425	1513		522	1220	3851	118		134	55	520	AICO	182	57		2	9	2	3	55	2	3	49	ESAFRO	262		4		2	1	4	1	32	5	3		2	95	3	3		1			3	1	6	4	19	8		2		1	62	11208	2725	2090	635	36.48	63.52	77.26	0	0	4.29	1.03	0	7.74	13.24	14.06	0	4.85	11.33	35.78	1.1	0	1.24	0.51	4.83	1.31	31.32	0	1.1	4.95	1.1	1.65	30.22	1.1	1.65	26.92	1.88	0	1.53	0	0.76	0.38	1.53	0.38	12.21	1.91	1.15	0	0.76	36.26	1.15	1.15	0	0.38	0	0	1.15	0.38	2.29	1.53	7.25	3.05	0	0.76	0	0.38	23.66	80.44	19.56	15	4.56
5148	El Carmen de Viboral	Antioquia	30320	15312	15008	Cambio Radical	12560			336	245		3091	2110	319		1051	2685	903	875		50	106	789	Voto en blanco	114	3	1	4	6	1	2		4	2	91	Voto en blanco	133	2	2		1	1	2	2	3		3	1	1	2	1	2		1			2	1			1	2	2		4	1	96	12807	2505	2075	430	50.5	49.5	82.03	0	0	2.68	1.95	0	24.61	16.8	2.54	0	8.37	21.38	7.19	6.97	0	0.4	0.84	6.28	0.74	2.63	0.88	3.51	5.26	0.88	1.75	0	3.51	1.75	79.82	0.87	1.5	1.5	0	0.75	0.75	1.5	1.5	2.26	0	2.26	0.75	0.75	1.5	0.75	1.5	0	0.75	0	0	1.5	0.75	0	0	0.75	1.5	1.5	0	3.01	0.75	72.18	83.64	16.36	13.55	2.81
5150	Carolina	Antioquia	4048	1309	2739	Partido Conservador	1111			3	53		173	171	5		344	49	204	34		5	4	66	Voto en blanco	9						1		1		7	Voto en blanco	8				1													1													6	1128	181	124	57	32.34	67.66	84.87	0	0	0.27	4.77	0	15.57	15.39	0.45	0	30.96	4.41	18.36	3.06	0	0.45	0.36	5.94	0.69	0	0	0	0	0	11.11	0	11.11	0	77.78	0.61	0	0	0	12.5	0	0	0	0	0	0	0	0	0	0	0	0	12.5	0	0	0	0	0	0	0	0	0	0	0	0	75	86.17	13.83	9.47	4.35
